country,country_slug,category_cluster,page_slug,url,brand_count,active_count,lead_brands,status
South Africa,south-africa,prepared meals | prepared meals marketplace,best-prepared-meal-delivery,/countries/south-africa/best-prepared-meal-delivery/,2,2,FitChef | DinnerLink,generated
South Korea,south-korea,grocery dinner delivery,best-grocery-dinner-delivery,/countries/south-korea/best-grocery-dinner-delivery/,1,1,Market Kurly Meal Kits,generated
South Korea,south-korea,high protein prepared meals,best-high-protein-meal-prep,/countries/south-korea/best-high-protein-meal-prep/,1,1,Heodak,generated
South Korea,south-korea,meal kit,best-meal-kits,/countries/south-korea/best-meal-kits/,2,2,Fresheasy | MyChef,generated
South Korea,south-korea,prepared meals,best-prepared-meal-delivery,/countries/south-korea/best-prepared-meal-delivery/,3,3,Cookat | Tasty9 | Wingeat,generated
Spain,spain,diet prepared meals,best-diet-meal-delivery,/countries/spain/best-diet-meal-delivery/,1,1,Nootric,generated
Spain,spain,grocery dinner delivery,best-grocery-dinner-delivery,/countries/spain/best-grocery-dinner-delivery/,2,2,MyRealFood | ComeFruta,generated
Spain,spain,meal kit,best-meal-kits,/countries/spain/best-meal-kits/,1,1,HelloFresh Spain,generated
Spain,spain,prepared meals,best-prepared-meal-delivery,/countries/spain/best-prepared-meal-delivery/,9,9,MenuDiet | Wetaca | DinDins | Eatsana | Knoweats,generated
Sweden,sweden,grocery dinner delivery,best-grocery-dinner-delivery,/countries/sweden/best-grocery-dinner-delivery/,1,1,Mathem,generated
Sweden,sweden,high protein meal prep,best-high-protein-meal-prep,/countries/sweden/best-high-protein-meal-prep/,1,1,Mealprep.se,generated
Sweden,sweden,meal kit,best-meal-kits,/countries/sweden/best-meal-kits/,4,3,HelloFresh | Linas Matkasse | Matkomfort | Middagsfrid,generated
Sweden,sweden,prepared meals,best-prepared-meal-delivery,/countries/sweden/best-prepared-meal-delivery/,1,1,Factor,generated
Switzerland,switzerland,grocery dinner delivery,best-grocery-dinner-delivery,/countries/switzerland/best-grocery-dinner-delivery/,1,1,Farmy,generated
Switzerland,switzerland,high protein prepared meals,best-high-protein-meal-prep,/countries/switzerland/best-high-protein-meal-prep/,2,2,Löwenanteil | prepmymeal,generated
Switzerland,switzerland,meal kit,best-meal-kits,/countries/switzerland/best-meal-kits/,2,2,HelloFresh | Betty Bossi,generated
Switzerland,switzerland,prepared meals,best-prepared-meal-delivery,/countries/switzerland/best-prepared-meal-delivery/,3,3,Weekly Food | Allcook Kitchen | merciChef,generated
Thailand,thailand,diet prepared meals,best-diet-meal-delivery,/countries/thailand/best-diet-meal-delivery/,2,2,NutriChef Bangkok | Healthy Tasty Thailand,generated
Thailand,thailand,healthy meal delivery,best-healthy-meal-delivery,/countries/thailand/best-healthy-meal-delivery/,1,1,Paleo Robbie,generated
Thailand,thailand,high protein meal prep,best-high-protein-meal-prep,/countries/thailand/best-high-protein-meal-prep/,4,4,Fit2go Thailand | Fit Food Always | Fitmeal Thailand | Pure Prep Bangkok,generated
Thailand,thailand,plant-based prepared meals,best-prepared-meal-delivery,/countries/thailand/best-prepared-meal-delivery/,1,1,Plantiful Bangkok,generated
Turkey,turkey,diet prepared meals,best-diet-meal-delivery,/countries/turkey/best-diet-meal-delivery/,2,2,Rafinera | FitChef Turkey,generated
Turkey,turkey,prepared meals,best-prepared-meal-delivery,/countries/turkey/best-prepared-meal-delivery/,1,1,Meal Box,generated
UAE,uae,diet prepared meals,best-diet-meal-delivery,/countries/uae/best-diet-meal-delivery/,3,3,Basiligo | Eat Clean ME | FITT Meals,generated
